what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1284470404014
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470404290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470408551
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470408592
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470411579
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470415698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470418325
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470418421
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1284470418535
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1284470418658
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1284470418658
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1284470418658
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1284470418658
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1284470418658
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1284470418658
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1284470418658
stopped,bundle,com.cloudgarden.jigloo,4.6.0,"com.cloudgarden.jigloo",1284470418658
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1284470418658
stopped,bundle,com.mountainminds.eclemma.ui,1.4.3,"com.mountainminds.eclemma.ui",1284470418658
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1284470418672
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1284470418672
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ui",1284470418672
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1284470418673
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.resources.ui",1284470418673
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1284470418673
