what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1284523678939
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284523682363
opened,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523682614
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523682711
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1284523687939
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523689602
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284523721204
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523721446
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284523734837
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284523769464
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284523769481
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284523773502
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284523774360
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523774386
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1284523794637
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1284523796559
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523797662
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1284523799779
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1284523803149
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523807683
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1284523809839
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523810233
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1284523810871
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1284523851175
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284523858826
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1284523862905
