what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1284510647592
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1284510647592
started,bundle,org.eclipse.jface,3.5.1.M20090826-0800,"org.eclipse.jface",1284510647592
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1284510647592
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1284510647592
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1284510647592
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1284510647592
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1284510647592
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1284510647592
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1284510647592
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1284510647592
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1284510647592
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1284510647592
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1284510647592
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1284510647592
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1284510647592
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1284510647592
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1284510647592
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1284510647592
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1284510647592
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1284510647592
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.1.e35x-20100814-1300,"org.eclipse.contribution.weaving.jdt",1284510647592
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1284510647592
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1284510647592
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.v20100108,"org.eclipse.equinox.weaving.aspectj",1284510647592
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1284510647592
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1284510647592
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1284510647592
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1284510647592
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1284510647592
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1284510647592
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1284510647592
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1284510647592
started,bundle,org.scala-ide.sdt.aspects,1.0.0.201009140200,"org.scala-ide.sdt.aspects",1284510647592
started,bundle,org.scala-ide.sdt.core,1.0.0.201009140200,"org.scala-ide.sdt.core",1284510647592
os,sysinfo,,,"win32",1284510647598
arch,sysinfo,,,"x86",1284510647598
ws,sysinfo,,,"win32",1284510647598
locale,sysinfo,,,"en_AU",1284510647598
processors,sysinfo,,,"2",1284510647598
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284510647598
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1284510647598
java.specification.name,sysinfo,,,"Java Platform API Specification",1284510647598
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284510647598
java.specification.version,sysinfo,,,"1.6",1284510647598
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284510647598
java.version,sysinfo,,,"1.6.0_21",1284510647598
java.vm.info,sysinfo,,,"mixed mode, sharing",1284510647598
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284510647598
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284510647598
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284510647598
java.vm.specification.version,sysinfo,,,"1.0",1284510647598
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284510647598
java.vm.version,sysinfo,,,"17.0-b17",1284510647598
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1284510647654
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1284510647706
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1284510648633
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1284510648840
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1284510648990
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1284510649099
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1284510649132
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284510649471
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1284510649541
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284510652598
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1284510654069
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1284510654736
activated,editor,org.scala-ide.sdt.core,1.0.0.201009140200,"scala.tools.eclipse.ScalaSourceFileEditor",1284510655071
