what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1284463700824
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1284463700852
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1284463700884
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1284463710502
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1284463710505
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284463710841
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1284463720808
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1284463777164
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1284469928134
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.101.R35x_v20090806,"org.eclipse.equinox.p2.touchpoint.natives",1284469944986
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284469948270
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1284469948313
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284469948613
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470317606
started,bundle,org.eclipse.equinox.security.ui,1.0.100.v20090520-1800,"org.eclipse.equinox.security.ui",1284470317662
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470317689
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470318756
error,log,,,"An error occurred during the org.eclipse.equinox.internal.provisional.p2.engine.phases.CheckTrust phase.",1284470318927
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470318992
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470323069
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470324452
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470329625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470346918
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.installationDialog",1284470352747
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284470404005
